project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,dpy_implementation_smells,dpy_design_smells,dpy_architecture_smells,dpy_total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd,refactored_py_files,refactored_structural_smells,refactored_code_smells,refactored_architectural_smells,refactored_total_smells,delta_ref_vs_baseline_structural,delta_ref_vs_baseline_code,delta_ref_vs_baseline_architectural,delta_ref_vs_baseline_total,delta_ref_vs_postreview_structural,delta_ref_vs_postreview_code,delta_ref_vs_postreview_architectural,delta_ref_vs_postreview_total,refactored_dpy_implementation_smells,refactored_dpy_design_smells,refactored_dpy_architecture_smells,refactored_dpy_total_smells,delta_ref_vs_baseline_dpy_implementation,delta_ref_vs_baseline_dpy_design,delta_ref_vs_baseline_dpy_architecture,delta_ref_vs_baseline_dpy_total,delta_ref_vs_postreview_dpy_implementation,delta_ref_vs_postreview_dpy_design,delta_ref_vs_postreview_dpy_architecture,delta_ref_vs_postreview_dpy_total
GoldMiner_DefaultOrganization_20250923182344,4,TestModification,Programmer,Software Test Engineer,2025-23-09 18:37:44,3,505,11,2,4,17,42,0,0,42,6167,4768,2048,10935,0.055389,3,2,2,1,5,-6,0,-3,-9,-9,0,-3,-12,28,2,0,30,-7,2,0,-5,-14,2,0,-12
GoldMiner_DefaultOrganization_20250923182344,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-23-09 18:38:04,3,0,11,2,4,17,42,0,0,42,6298,681,640,6979,0.014683,3,2,2,1,5,-6,0,-3,-9,-9,0,-3,-12,28,2,0,30,-7,2,0,-5,-14,2,0,-12
GoldMiner_DefaultOrganization_20250923182344,6,Reflection,Chief Executive Officer,Counselor,2025-23-09 18:38:19,3,505,11,2,4,17,42,0,0,42,6639,621,576,7260,0.014509,3,2,2,1,5,-6,0,-3,-9,-9,0,-3,-12,28,2,0,30,-7,2,0,-5,-14,2,0,-12
Gomoku_DefaultOrganization_20250908223552,0,Coding,Programmer,Chief Technology Officer,2025-08-09 22:37:46,1,468,0,0,0,0,1,0,0,1,635,8269,3072,8904,0.083484,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Gomoku_DefaultOrganization_20250908223552,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:41:47,1,468,0,0,0,0,1,0,0,1,5067,7729,3136,12796,0.083624,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Gomoku_DefaultOrganization_20250908223552,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:44:54,1,468,0,0,0,0,1,0,0,1,5230,6321,1728,11551,0.069748,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Gomoku_DefaultOrganization_20250908223552,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:49:04,1,468,0,0,0,0,1,0,0,1,5282,6001,1408,11283,0.066613,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Gomoku_DefaultOrganization_20250908223552,4,TestModification,Programmer,Software Test Engineer,2025-08-09 22:50:10,2,478,2,0,2,4,8,0,0,8,5096,3337,2112,8433,0.03974,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Gomoku_DefaultOrganization_20250908223552,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 22:50:29,2,0,2,0,2,4,8,0,0,8,5070,700,640,5770,0.013338,2,3,0,2,5,3,0,2,5,3,0,2,5,13,0,0,13,12,0,0,12,12,0,0,12
Mastermind_DefaultOrganization_20250924001636,0,Coding,Programmer,Chief Technology Officer,2025-24-09 00:19:38,3,142,4,3,1,8,29,0,0,29,675,7931,2944,8606,0.080154,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Mastermind_DefaultOrganization_20250924001636,1,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:21:51,3,294,3,1,1,5,10,0,0,10,3505,4242,1344,7747,0.046801,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Mastermind_DefaultOrganization_20250924001636,2,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:24:04,3,300,3,1,1,5,10,0,0,10,3625,4180,1216,7805,0.046331,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Mastermind_DefaultOrganization_20250924001636,3,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:25:52,3,409,6,1,1,8,12,0,0,12,3486,7447,3264,10933,0.078827,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Mastermind_DefaultOrganization_20250924001636,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-24-09 00:26:13,3,0,6,1,1,8,12,0,0,12,4634,883,768,5517,0.014623,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Mastermind_DefaultOrganization_20250924001636,5,Reflection,Chief Executive Officer,Counselor,2025-24-09 00:26:35,3,409,6,1,1,8,12,0,0,12,5038,1011,896,6049,0.016407,3,2,0,2,4,-2,-3,1,-4,-4,-1,1,-4,17,1,0,18,-12,1,0,-11,5,1,0,6
Minesweeper_DefaultOrganization_20250913230501,0,Coding,Programmer,Chief Technology Officer,2025-13-09 23:07:33,3,418,13,5,1,19,8,0,0,8,699,6407,2048,7106,0.064944,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
Minesweeper_DefaultOrganization_20250913230501,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:10:13,3,415,13,5,1,19,9,0,0,9,5166,5951,1792,11117,0.065967,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
Minesweeper_DefaultOrganization_20250913230501,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:12:52,3,422,13,5,1,19,10,0,0,10,5029,4962,704,9991,0.055906,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
Minesweeper_DefaultOrganization_20250913230501,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:17:42,3,429,13,5,1,19,10,0,0,10,5227,6157,1792,11384,0.068104,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
Minesweeper_DefaultOrganization_20250913230501,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 23:18:00,3,0,13,5,1,19,10,0,0,10,4841,769,704,5610,0.013741,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
Minesweeper_DefaultOrganization_20250913230501,5,Reflection,Chief Executive Officer,Counselor,2025-13-09 23:18:23,3,429,13,5,1,19,10,0,0,10,5207,1217,1152,6424,0.018679,3,4,1,1,6,-9,-4,0,-13,-9,-4,0,-13,15,0,0,15,7,0,0,7,5,0,0,5
MonopolyGo_DefaultOrganization_20250918164257,0,Coding,Programmer,Chief Technology Officer,2025-18-09 16:48:33,4,738,11,7,2,20,28,1,0,29,665,12567,4288,13232,0.126501,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
MonopolyGo_DefaultOrganization_20250918164257,1,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 16:54:11,4,735,11,8,2,21,28,1,0,29,8945,10238,1984,19183,0.113561,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
MonopolyGo_DefaultOrganization_20250918164257,2,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 17:00:23,4,744,11,8,2,21,28,1,0,29,9242,9904,1536,19146,0.110593,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
MonopolyGo_DefaultOrganization_20250918164257,3,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 17:07:57,4,813,13,8,2,23,27,1,0,28,9418,13157,4096,22575,0.143342,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
MonopolyGo_DefaultOrganization_20250918164257,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-18-09 17:08:22,4,0,13,8,2,23,27,1,0,28,9487,973,896,10460,0.021589,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
MonopolyGo_DefaultOrganization_20250918164257,5,Reflection,Chief Executive Officer,Counselor,2025-18-09 17:08:39,4,813,13,8,2,23,27,1,0,28,9848,653,576,10501,0.01884,4,3,5,2,10,-8,-2,0,-10,-10,-3,0,-13,39,3,0,42,11,2,0,13,12,2,0,14
Pong_DefaultOrganization_20250914182514,0,Coding,Programmer,Chief Technology Officer,2025-14-09 18:27:35,4,486,3,4,3,10,44,0,0,44,671,7669,2496,8340,0.077529,4,3,4,3,10,0,0,0,0,3,1,2,6,44,1,0,45,0,1,0,1,20,1,0,21
Pong_DefaultOrganization_20250914182514,1,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:30:50,4,483,0,3,1,4,24,0,0,24,5563,5896,1280,11459,0.065914,4,3,4,3,10,0,0,0,0,3,1,2,6,44,1,0,45,0,1,0,1,20,1,0,21
Pong_DefaultOrganization_20250914182514,2,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:34:05,4,483,3,4,3,10,43,0,0,43,5364,6087,1472,11451,0.067575,4,3,4,3,10,0,0,0,0,3,1,2,6,44,1,0,45,0,1,0,1,20,1,0,21
Pong_DefaultOrganization_20250914182514,3,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:37:05,4,483,0,3,1,4,24,0,0,24,5314,5256,640,10570,0.059203,4,3,4,3,10,0,0,0,0,3,1,2,6,44,1,0,45,0,1,0,1,20,1,0,21
Pong_DefaultOrganization_20250914182514,4,TestModification,Programmer,Software Test Engineer,2025-14-09 18:37:59,4,491,3,4,3,10,45,0,0,45,5139,4230,1856,9369,0.048724,4,3,4,3,10,0,0,0,0,3,1,2,6,44,1,0,45,0,1,0,1,20,1,0,21
ReversiOthello_DefaultOrganization_20250917002342,0,Coding,Programmer,Chief Technology Officer,2025-17-09 00:25:10,1,390,0,0,0,0,1,0,0,1,693,7661,2624,8354,0.077476,2,4,1,1,6,4,1,1,6,4,1,1,6,16,0,0,16,15,0,0,15,15,0,0,15
ReversiOthello_DefaultOrganization_20250917002342,1,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:27:25,1,395,0,0,0,0,1,0,0,1,5233,5748,1344,10981,0.064021,2,4,1,1,6,4,1,1,6,4,1,1,6,16,0,0,16,15,0,0,15,15,0,0,15
ReversiOthello_DefaultOrganization_20250917002342,2,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:29:41,1,397,0,0,0,0,1,0,0,1,5137,5987,1600,11124,0.066291,2,4,1,1,6,4,1,1,6,4,1,1,6,16,0,0,16,15,0,0,15,15,0,0,15
ReversiOthello_DefaultOrganization_20250917002342,3,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:32:16,1,397,0,0,0,0,1,0,0,1,5201,6368,1984,11569,0.070181,2,4,1,1,6,4,1,1,6,4,1,1,6,16,0,0,16,15,0,0,15,15,0,0,15
ReversiOthello_DefaultOrganization_20250917002342,4,TestModification,Programmer,Software Test Engineer,2025-17-09 00:33:17,2,397,4,1,1,6,8,0,0,8,4918,3712,1344,8630,0.043268,2,4,1,1,6,4,1,1,6,4,1,1,6,16,0,0,16,15,0,0,15,15,0,0,15
SnakeGame_DefaultOrganization_20250910123142,0,Coding,Programmer,Chief Technology Officer,2025-10-09 12:35:18,6,452,4,6,3,13,25,1,0,26,687,6563,2176,7250,0.066489,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
SnakeGame_DefaultOrganization_20250910123142,1,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:40:42,6,458,5,6,3,14,26,1,0,27,4726,5173,1216,9899,0.057638,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
SnakeGame_DefaultOrganization_20250910123142,2,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:45:21,6,466,5,6,3,14,26,1,0,27,4820,5189,1152,10009,0.057915,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
SnakeGame_DefaultOrganization_20250910123142,3,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:50:06,6,497,6,6,4,16,29,1,0,30,4571,7212,2688,11783,0.077834,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
SnakeGame_DefaultOrganization_20250910123142,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-10-09 12:51:33,6,0,6,6,4,16,29,1,0,30,4988,599,576,5587,0.012225,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
SnakeGame_DefaultOrganization_20250910123142,5,Reflection,Chief Executive Officer,Counselor,2025-10-09 12:51:56,6,497,6,6,4,16,29,1,0,30,5306,663,640,5969,0.013262,6,5,5,3,13,1,-1,0,0,-1,-1,-1,-3,59,2,0,61,34,1,0,35,30,1,0,31
StrandsGame_DefaultOrganization_20250918115617,0,Coding,Programmer,Chief Technology Officer,2025-18-09 11:59:44,2,483,3,7,3,13,46,1,0,47,655,12456,3840,13111,0.125379,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsGame_DefaultOrganization_20250918115617,1,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:04:57,2,491,3,7,3,13,46,1,0,47,9311,10573,1984,19884,0.117369,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsGame_DefaultOrganization_20250918115617,2,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:11:18,2,491,3,7,3,13,46,1,0,47,9448,10920,2240,20368,0.12101,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsGame_DefaultOrganization_20250918115617,3,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:18:29,2,490,3,7,3,13,46,1,0,47,9415,12089,3456,21504,0.132659,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsGame_DefaultOrganization_20250918115617,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-18-09 12:19:15,2,0,3,7,3,13,46,1,0,47,9058,1317,1280,10375,0.024493,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsGame_DefaultOrganization_20250918115617,5,Reflection,Chief Executive Officer,Counselor,2025-18-09 12:19:34,2,490,3,7,3,13,46,1,0,47,9374,741,704,10115,0.019127,2,1,3,1,5,-2,-4,-2,-8,-2,-4,-2,-8,17,0,0,17,-29,-1,0,-30,-29,-1,0,-30
StrandsNYT_DefaultOrganization_20250915172200,0,Coding,Programmer,Chief Technology Officer,2025-15-09 17:26:04,1,472,0,0,0,0,1,0,0,1,849,17789,11264,18638,0.178951,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:29:00,5,474,9,2,1,12,46,1,0,47,7068,7574,1536,14642,0.084575,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:31:43,6,565,9,5,2,16,48,1,0,49,7332,11073,3136,18405,0.119895,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:37:23,6,565,9,8,4,21,49,1,0,50,11084,12875,2624,23959,0.142605,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,4,TestModification,Programmer,Software Test Engineer,2025-15-09 17:38:18,6,571,9,8,7,24,50,1,0,51,10844,1849,832,12693,0.032045,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,5,TestModification,Programmer,Software Test Engineer,2025-15-09 17:40:39,6,580,9,8,7,24,51,1,0,52,10993,4875,1344,15868,0.062491,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
StrandsNYT_DefaultOrganization_20250915172200,6,Reflection,Chief Executive Officer,Counselor,2025-15-09 17:41:20,6,580,9,8,7,24,51,1,0,52,11379,794,768,12173,0.022164,6,8,11,8,27,8,11,8,27,-1,3,4,6,94,0,0,94,93,0,0,93,45,-1,0,44
Sudoku_DefaultOrganization_20250912104519,0,Coding,Programmer,Chief Technology Officer,2025-12-09 10:48:51,2,362,7,4,2,13,139,0,0,139,667,11030,3008,11697,0.111134,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Sudoku_DefaultOrganization_20250912104519,1,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 10:52:53,3,362,7,5,4,16,153,0,0,153,8242,9967,2560,18209,0.109973,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Sudoku_DefaultOrganization_20250912104519,2,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 10:57:11,3,362,7,5,4,16,153,0,0,153,8283,10322,2880,18605,0.113574,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Sudoku_DefaultOrganization_20250912104519,3,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 11:01:12,3,362,7,5,4,16,153,0,0,153,8302,10386,2944,18688,0.114237,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Sudoku_DefaultOrganization_20250912104519,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-12-09 11:01:42,3,0,7,5,4,16,153,0,0,153,7884,728,704,8612,0.017135,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Sudoku_DefaultOrganization_20250912104519,5,Reflection,Chief Executive Officer,Counselor,2025-12-09 11:02:08,3,362,7,5,4,16,153,0,0,153,8193,984,960,9177,0.020081,3,0,2,3,5,-7,-2,1,-8,-7,-3,-1,-11,36,0,0,36,-103,0,0,-103,-117,0,0,-117
Tetris_DefaultOrganization_20250916220733,0,Coding,Programmer,Chief Technology Officer,2025-16-09 22:33:37,0,0,0,0,0,0,0,0,0,0,691,11790,2176,12481,0.118764,,,,,,,,,,,,,,,,,,,,,,,,,
Tetris_DefaultOrganization_20250916220733,1,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:38:53,0,0,0,0,0,0,0,0,0,0,9820,10927,1792,20747,0.121545,,,,,,,,,,,,,,,,,,,,,,,,,
Tetris_DefaultOrganization_20250916220733,2,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:41:29,0,0,0,0,0,0,0,0,0,0,10066,10543,1408,20609,0.118013,,,,,,,,,,,,,,,,,,,,,,,,,
Tetris_DefaultOrganization_20250916220733,3,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:46:13,0,0,0,0,0,0,0,0,0,0,10300,10405,1280,20705,0.116925,,,,,,,,,,,,,,,,,,,,,,,,,
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,0,Coding,Programmer,Chief Technology Officer,2025-23-09 23:56:33,4,389,6,4,3,13,25,0,0,25,663,7882,3136,8545,0.079649,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,1,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 23:59:05,4,389,6,4,3,13,24,0,0,24,4685,5043,1024,9728,0.056286,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,2,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:01:44,4,388,6,4,3,13,24,0,0,24,4712,4706,704,9418,0.05295,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,3,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:04:10,4,392,5,5,3,13,20,0,0,20,4915,7050,3008,11965,0.076644,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,4,TestModification,Programmer,Software Test Engineer,2025-24-09 00:04:50,4,403,5,5,3,13,21,0,0,21,4562,1837,1664,6399,0.024073,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-24-09 00:05:04,4,0,5,5,3,13,21,0,0,21,4566,600,576,5166,0.011708,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,6,Reflection,Chief Executive Officer,Counselor,2025-24-09 00:05:20,4,403,5,5,3,13,21,0,0,21,4873,728,704,5601,0.013371,4,3,4,3,10,-3,0,0,-3,-2,-1,0,-3,46,2,0,48,21,2,0,23,26,2,0,28
TheCrossword_DefaultOrganization_20250912175428,0,Coding,Programmer,Chief Technology Officer,2025-12-09 17:58:20,5,522,12,4,4,20,15,0,0,15,635,13873,8832,14508,0.139524,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,1,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:00:33,5,522,12,4,4,20,15,0,0,15,5511,6832,1792,12343,0.075209,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,2,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:02:45,5,524,12,4,4,20,15,0,0,15,5511,6595,1536,12106,0.072839,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,3,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:05:06,5,524,12,4,4,20,15,0,0,15,5528,6018,960,11546,0.06709,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,4,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:07:05,5,524,12,4,4,20,15,0,0,15,5528,7041,1984,12569,0.07732,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,5,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:09:14,5,524,12,4,4,20,15,0,0,15,5528,6850,1792,12378,0.07541,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,6,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:14:01,5,573,13,6,4,23,24,0,0,24,6011,7107,1408,13118,0.078584,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,7,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:17:19,5,575,13,6,4,23,24,0,0,24,6180,8134,2432,14314,0.089065,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,8,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:20:50,5,601,15,7,4,26,24,0,0,24,6563,7325,1344,13888,0.081454,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TheCrossword_DefaultOrganization_20250912175428,9,EnvironmentDoc,Programmer,Chief Technology Officer,2025-12-09 18:21:12,5,0,15,7,4,26,24,0,0,24,6392,853,768,7245,0.01652,5,1,1,4,6,-11,-3,0,-14,-14,-6,0,-20,15,1,0,16,0,1,0,1,-9,1,0,-8
TicTacToe_DefaultOrganization_20250913084721,0,Coding,Programmer,Chief Technology Officer,2025-13-09 08:48:15,4,307,5,2,2,9,10,0,0,10,659,6101,2752,6760,0.061834,4,4,4,2,10,-1,2,0,1,-2,2,0,0,27,2,0,29,17,2,0,19,14,2,0,16
TicTacToe_DefaultOrganization_20250913084721,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:50:04,4,307,5,2,2,9,10,0,0,10,3515,4545,1536,8060,0.049844,4,4,4,2,10,-1,2,0,1,-2,2,0,0,27,2,0,29,17,2,0,19,14,2,0,16
TicTacToe_DefaultOrganization_20250913084721,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:52:03,4,307,5,2,2,9,10,0,0,10,3515,4545,1536,8060,0.049844,4,4,4,2,10,-1,2,0,1,-2,2,0,0,27,2,0,29,17,2,0,19,14,2,0,16
TicTacToe_DefaultOrganization_20250913084721,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:55:09,4,361,6,2,2,10,13,0,0,13,3515,7197,3584,10712,0.076364,4,4,4,2,10,-1,2,0,1,-2,2,0,0,27,2,0,29,17,2,0,19,14,2,0,16
Tiny Rouge_DefaultOrganization_20250913090722,0,Coding,Programmer,Chief Technology Officer,2025-13-09 09:09:08,6,519,9,5,5,19,44,1,0,45,827,9575,3648,10402,0.096784,6,7,3,5,15,-2,-2,0,-4,6,-2,1,5,28,5,0,33,-16,4,0,-12,-14,4,0,-10
Tiny Rouge_DefaultOrganization_20250913090722,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:12:16,6,518,9,6,5,20,44,1,0,45,6459,6896,1600,13355,0.077034,6,7,3,5,15,-2,-2,0,-4,6,-2,1,5,28,5,0,33,-16,4,0,-12,-14,4,0,-10
Tiny Rouge_DefaultOrganization_20250913090722,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:15:56,6,526,9,6,5,20,47,1,0,48,6333,6915,1472,13248,0.077066,6,7,3,5,15,-2,-2,0,-4,6,-2,1,5,28,5,0,33,-16,4,0,-12,-14,4,0,-10
