project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,6,Reflection,Chief Executive Officer,Counselor,2025-24-09 00:05:20,4,403,5,5,3,13,4873,728,704,5601,0.013371
TheCrossword_DefaultOrganization_20250912175428,0,Coding,Programmer,Chief Technology Officer,2025-12-09 17:58:20,5,522,12,4,4,20,635,13873,8832,14508,0.139524
TheCrossword_DefaultOrganization_20250912175428,1,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:00:33,5,522,12,4,4,20,5511,6832,1792,12343,0.075209
TheCrossword_DefaultOrganization_20250912175428,2,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:02:45,5,524,12,4,4,20,5511,6595,1536,12106,0.072839
TheCrossword_DefaultOrganization_20250912175428,3,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:05:06,5,524,12,4,4,20,5528,6018,960,11546,0.06709
TheCrossword_DefaultOrganization_20250912175428,4,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:07:05,5,524,12,4,4,20,5528,7041,1984,12569,0.07732
TheCrossword_DefaultOrganization_20250912175428,5,CodeComplete,Programmer,Chief Technology Officer,2025-12-09 18:09:14,5,524,12,4,4,20,5528,6850,1792,12378,0.07541
TheCrossword_DefaultOrganization_20250912175428,6,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:14:01,5,573,13,6,4,23,6011,7107,1408,13118,0.078584
TheCrossword_DefaultOrganization_20250912175428,7,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:17:19,5,575,13,6,4,23,6180,8134,2432,14314,0.089065
TheCrossword_DefaultOrganization_20250912175428,8,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 18:20:50,5,601,15,7,4,26,6563,7325,1344,13888,0.081454
TheCrossword_DefaultOrganization_20250912175428,9,EnvironmentDoc,Programmer,Chief Technology Officer,2025-12-09 18:21:12,5,0,15,7,4,26,6392,853,768,7245,0.01652
TicTacToe_DefaultOrganization_20250913084721,0,Coding,Programmer,Chief Technology Officer,2025-13-09 08:48:15,4,307,5,2,2,9,659,6101,2752,6760,0.061834
TicTacToe_DefaultOrganization_20250913084721,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:50:04,4,307,5,2,2,9,3515,4545,1536,8060,0.049844
TicTacToe_DefaultOrganization_20250913084721,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:52:03,4,307,5,2,2,9,3515,4545,1536,8060,0.049844
TicTacToe_DefaultOrganization_20250913084721,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 08:55:09,4,361,6,2,2,10,3515,7197,3584,10712,0.076364
Tiny Rouge_DefaultOrganization_20250913090722,0,Coding,Programmer,Chief Technology Officer,2025-13-09 09:09:08,6,519,9,5,5,19,827,9575,3648,10402,0.096784
Tiny Rouge_DefaultOrganization_20250913090722,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:12:16,6,518,9,6,5,20,6459,6896,1600,13355,0.077034
Tiny Rouge_DefaultOrganization_20250913090722,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:15:56,6,526,9,6,5,20,6333,6915,1472,13248,0.077066
Tiny Rouge_DefaultOrganization_20250913090722,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:19:48,6,528,1,5,4,10,6515,6723,1216,13238,0.075374
TriviaQuiz_DefaultOrganization_20250913115336,0,Coding,Programmer,Chief Technology Officer,2025-13-09 11:55:04,4,698,14,7,3,24,653,9852,2880,10505,0.099336
TriviaQuiz_DefaultOrganization_20250913115336,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 11:58:09,4,777,18,7,3,28,7550,8739,1536,16289,0.096827
TriviaQuiz_DefaultOrganization_20250913115336,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 12:02:18,4,778,18,7,3,28,7984,9508,2304,17492,0.10506
TriviaQuiz_DefaultOrganization_20250913115336,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 12:05:14,4,784,17,7,3,27,8065,8741,1472,16806,0.097491
TriviaQuiz_DefaultOrganization_20250913115336,4,TestModification,Programmer,Software Test Engineer,2025-13-09 12:07:33,4,784,17,7,3,27,8060,4865,832,12925,0.058725
TriviaQuiz_DefaultOrganization_20250913115336,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 12:08:01,4,0,17,7,3,27,7698,904,832,8602,0.018663
TriviaQuiz_DefaultOrganization_20250913115336,6,Reflection,Chief Executive Officer,Counselor,2025-13-09 12:08:20,4,784,17,7,3,27,8048,1011,960,9059,0.02017
Wordle_DefaultOrganization_20250913205401,0,Coding,Programmer,Chief Technology Officer,2025-13-09 20:58:07,5,443,4,6,2,12,813,8480,3264,9293,0.085816
Wordle_DefaultOrganization_20250913205401,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:05:05,5,462,4,6,2,12,5563,6499,1664,12062,0.071944
Wordle_DefaultOrganization_20250913205401,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:13:01,5,463,4,6,2,12,5492,7550,2688,13042,0.082365
Wordle_DefaultOrganization_20250913205401,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:18:13,5,486,5,6,2,13,5910,7400,2048,13310,0.081388
Wordle_DefaultOrganization_20250913205401,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 21:18:29,5,0,5,6,2,13,5939,514,448,6453,0.012564
Wordle_DefaultOrganization_20250913205401,5,Reflection,Chief Executive Officer,Counselor,2025-13-09 21:18:51,5,486,5,6,2,13,6363,835,768,7198,0.016304
